AgeRange,Age,PassengerId,Name,Sex,Pclass,Survived
30-44,35.4,1261,"Mcclain, Rev. Jason",male,3,0
30-44,37.1,1262,"White, Mrs. Martha",female,1,1
18-29,23.6,1263,"Martin, Dr. Craig",male,2,0
60+,65.4,1264,"Franco, Major. Samuel",male,1,0
18-29,23.0,1265,"Rose, Countess. Jennifer",female,3,1
30-44,36.8,1266,"Smith, Dr. Sophia",female,2,1
18-29,29.7,1267,"Hartman, Dr. Adam",male,2,0
0-17,5.6,1268,"Griffin, Mr. Joe",male,2,1
0-17,17.2,1269,"Campbell, Dr. Jamie",female,1,1
18-29,24.4,1270,"Hill, Rev. Justin",male,1,0
30-44,35.4,1271,"Carroll, Sir. Michael",male,2,0
45-59,45.1,1272,"Walsh, Major. Steven",male,1,1
0-17,0.5,1273,"Lucas, Mrs. Donna",female,1,1
30-44,30.8,1274,"Freeman, Major. Barry",male,1,0
45-59,49.8,1275,"Morris, Dr. Tyler",male,2,0
0-17,11.7,1276,"Barnes, Major. Scott",male,3,0
30-44,44.0,1277,"Peters, Sir. James",male,1,1
0-17,13.5,1278,"Tucker, Col. Jimmy",male,2,0
30-44,38.4,1279,"Marks, Mr. David",male,2,0
0-17,13.8,1280,"Johnson, Lady. Alexandra",female,3,1
30-44,36.1,1281,"Hunt, Dr. Jennifer",female,1,1
30-44,37.1,1282,"Houston, Dr. Jason",male,2,0
0-17,12.1,1283,"Rice, Major. Jonathan",male,3,0
18-29,18.9,1284,"Dodson, Countess. Katherine",female,2,1
0-17,10.8,1285,"Duran, Countess. Tara",female,3,0
45-59,50.2,1286,"Glover, Dr. Micheal",male,1,0
18-29,23.1,1287,"Ortiz, Countess. Angela",female,1,1
30-44,31.8,1288,"Jones, Countess. Michelle",female,1,1
45-59,55.9,1289,"Huff, Mr. John",male,1,1
18-29,23.8,1290,"Alvarez, Rev. Eddie",male,2,0
45-59,51.3,1291,"Morales, Rev. Joshua",male,1,1
18-29,21.3,1292,"Obrien, Rev. Chad",male,1,1
45-59,57.8,1293,"Walker, Sir. Garrett",male,1,0
30-44,33.2,1294,"Preston, Lady. Kimberly",female,1,1
30-44,43.1,1295,"Robinson, Rev. Richard",male,1,0
60+,77.4,1296,"Merritt, Rev. George",male,1,1
30-44,37.5,1297,"Reid, Rev. Richard",male,3,0
30-44,41.5,1298,"Oliver, Dr. Timothy",male,1,0
0-17,13.5,1299,"Woods, Mr. Andrew",male,2,0
30-44,38.4,1300,"White, Dr. Lisa",female,3,0
30-44,36.1,1301,"Johnson, Col. Jason",male,3,0
0-17,4.8,1302,"Arnold, Countess. Jessica",female,2,1
30-44,41.5,1303,"Nolan, Dr. Rachael",female,2,0
30-44,31.3,1304,"Lindsey, Col. Matthew",male,3,0
45-59,45.6,1305,"Donovan, Major. Christopher",male,1,0
30-44,34.8,1306,"Calderon, Miss. Shelly",female,1,1
18-29,26.4,1307,"Coleman, Col. Bruce",male,3,0
30-44,34.1,1308,"Mercado, Rev. David",male,2,0
18-29,19.9,1309,"Rodriguez, Rev. Jason",male,1,0
18-29,19.2,1310,"Mills, Dr. Michael",male,1,0
45-59,50.3,1311,"Hernandez, Col. Timothy",male,1,0
30-44,40.7,1312,"Sanchez, Rev. Christopher",male,1,0
30-44,42.2,1313,"Franklin, Lady. Tracy",female,1,1
18-29,26.7,1314,"Miller, Dr. Andrea",female,2,1
45-59,46.7,1315,"Owens, Miss. Cynthia",female,1,1
18-29,21.9,1316,"Gutierrez, Lady. Misty",female,1,1
18-29,24.6,1317,"Thompson, Dr. Wesley",male,3,0
18-29,29.3,1318,"Santiago, Rev. Jeremy",male,2,0
45-59,50.8,1319,"Davis, Dr. Jordan",female,1,1
45-59,56.9,1320,"Fitzgerald, Mr. John",male,1,0
30-44,39.2,1321,"Garcia, Sir. William",male,1,0
45-59,47.2,1322,"Lee, Col. Scott",male,1,1
30-44,35.7,1323,"Mitchell, Col. Vincent",male,1,0
30-44,44.4,1324,"Mclean, Rev. Brian",male,1,0
30-44,35.2,1325,"Gonzales, Major. Dustin",male,2,0
60+,66.0,1326,"Vasquez, Sir. Thomas",male,1,0
0-17,4.9,1327,"Nelson, Mr. Anthony",male,3,0
18-29,28.5,1328,"Rosales, Major. Brian",male,1,0
30-44,42.8,1329,"Waters, Mr. David",male,1,0
18-29,21.2,1330,"Horn, Miss. Tracy",female,2,1
45-59,48.9,1331,"Sanchez, Countess. Stephanie",female,1,1
0-17,15.3,1332,"Allen, Major. Wesley",male,2,0
30-44,36.9,1333,"Vega, Sir. Michael",male,1,1
18-29,26.3,1334,"Brown, Miss. Danielle",female,1,1
0-17,6.1,1335,"Castaneda, Miss. Robin",female,3,0
30-44,35.4,1336,"Powell, Lady. Norma",female,3,1
0-17,11.9,1337,"Chan, Dr. Margaret",female,1,1
30-44,39.0,1338,"Williams, Rev. Joseph",male,1,1
60+,64.8,1339,"Carson, Mr. Danny",male,1,0
18-29,29.6,1340,"Russell, Lady. Amber",female,2,1
18-29,27.8,1341,"Gaines, Dr. Haley",female,1,1
18-29,22.4,1342,"Graves, Rev. Allen",male,2,0
30-44,43.2,1343,"Becker, Miss. Caitlin",female,1,1
0-17,10.1,1344,"Alvarado, Rev. James",male,1,0
30-44,33.4,1345,"Brooks, Mr. Ethan",male,1,0
18-29,28.3,1346,"Smith, Mr. Derrick",male,1,0
18-29,27.4,1347,"Johnson, Mrs. Jennifer",female,2,0
30-44,30.3,1348,"Bates, Miss. Heather",female,3,1
30-44,30.5,1349,"Cantu, Miss. Regina",female,2,1
30-44,36.3,1350,"Johnston, Major. Brandon",male,2,1
0-17,17.4,1351,"Hoffman, Lady. Melanie",female,3,1
30-44,39.7,1352,"Hunter, Mr. Kenneth",male,1,0
30-44,41.5,1353,"Campbell, Col. Benjamin",male,2,0
60+,67.0,1354,"Edwards, Major. Jay",male,1,0
30-44,36.3,1355,"Sampson, Rev. Nicholas",male,1,0
18-29,25.3,1356,"Jones, Rev. Ryan",male,2,0
30-44,43.1,1357,"Bautista, Dr. Rebekah",female,2,1
18-29,22.6,1358,"Singh, Rev. David",male,3,0
60+,62.6,1359,"Campbell, Mr. Devin",male,1,0
18-29,19.0,1360,"Ross, Lady. Savannah",female,3,1
30-44,43.5,1361,"Christian, Mrs. Taylor",female,1,1
30-44,36.2,1362,"Harris, Dr. Matthew",male,1,1
45-59,56.1,1363,"Barton, Col. Michael",male,1,0
18-29,26.3,1364,"Scott, Rev. Daniel",male,3,0
60+,61.4,1365,"Wells, Mr. Walter",male,1,0
45-59,48.9,1366,"Thomas, Mrs. Shirley",female,1,1
18-29,23.5,1367,"Macdonald, Col. Brian",male,3,0
0-17,5.5,1368,"Herrera, Mr. Jermaine",male,1,0
18-29,29.6,1369,"Howell, Dr. Jonathan",male,2,0
30-44,36.7,1370,"Scott, Col. William",male,1,0
0-17,11.8,1371,"Carroll, Rev. Brandon",male,3,0
30-44,34.1,1372,"Fuller, Major. Marc",male,1,1
45-59,51.3,1373,"Smith, Sir. Justin",male,3,0
30-44,42.5,1374,"Weber, Dr. Chad",male,2,1
30-44,33.1,1375,"Robles, Mrs. Jessica",female,3,1
18-29,28.1,1376,"Jackson, Col. Timothy",male,1,1
45-59,51.7,1377,"Davies, Mr. Luis",male,1,0
18-29,28.8,1378,"Bishop, Rev. Cody",male,1,0
30-44,42.9,1379,"Rice, Rev. Adam",male,1,0
18-29,24.9,1380,"Welch, Rev. Daniel",male,1,1
60+,63.6,1381,"Rodriguez, Countess. Erica",female,1,1
0-17,8.9,1382,"Olsen, Mr. Craig",male,2,0
0-17,16.5,1383,"Willis, Rev. Max",male,2,0
0-17,13.3,1384,"Wolf, Countess. Crystal",female,3,1
18-29,26.6,1385,"Clark, Col. Juan",male,3,0
0-17,11.6,1386,"Navarro, Mr. Jason",male,3,0
30-44,37.5,1387,"Mays, Major. Jonathan",male,1,0
30-44,34.9,1388,"Atkins, Dr. David",male,3,0
18-29,19.5,1389,"White, Mrs. Cassandra",female,3,0
45-59,47.7,1390,"Johnson, Major. Tommy",male,1,1
45-59,55.4,1391,"Brown, Rev. Zachary",male,3,0
45-59,51.7,1392,"Collins, Major. Wayne",male,1,1
30-44,31.4,1393,"Pace, Mrs. Jennifer",female,2,1
30-44,41.5,1394,"Daniel, Major. Jacob",male,2,1
30-44,38.1,1395,"Martinez, Countess. Susan",female,1,1
30-44,41.5,1396,"Santos, Miss. Jill",female,2,1
30-44,37.6,1397,"Daniels, Sir. Jeffery",male,1,0
0-17,0.2,1398,"Hernandez, Mrs. Melanie",female,3,0
0-17,17.6,1399,"Wilson, Mr. Nicholas",male,2,0
45-59,45.9,1400,"Flores, Dr. Amanda",female,1,1
45-59,45.5,1401,"Graham, Dr. Jose",male,2,0
0-17,15.6,1402,"Smith, Major. Joel",male,3,0
18-29,24.9,1403,"Meyers, Countess. Brandy",female,3,0
18-29,25.4,1404,"Jensen, Col. Nathan",male,3,0
30-44,30.0,1405,"Nelson, Mrs. Lori",female,1,1
45-59,50.0,1406,"Wright, Dr. Brent",male,1,0
18-29,29.5,1407,"Lee, Dr. Theresa",female,2,1
18-29,22.3,1408,"Reynolds, Sir. Lee",male,3,0
0-17,7.8,1409,"Nguyen, Dr. Stephanie",female,3,1
18-29,25.8,1410,"Wood, Rev. Paul",male,3,0
30-44,32.9,1411,"Lloyd, Rev. Jimmy",male,1,0
30-44,41.9,1412,"Aguilar, Mrs. Paula",female,1,1
30-44,35.4,1413,"Mills, Mr. Robert",male,1,0
18-29,28.9,1414,"Mcclain, Lady. Maria",female,2,1
18-29,20.3,1415,"Rojas, Sir. Mark",male,3,0
30-44,35.1,1416,"Ross, Miss. Elizabeth",female,2,1
18-29,25.1,1417,"Wall, Mr. Eddie",male,2,0
30-44,30.4,1418,"Hughes, Mr. Aaron",male,1,0
18-29,26.7,1419,"Lopez, Dr. Shannon",male,1,1
18-29,28.5,1420,"Garrison, Major. Russell",male,1,0
18-29,26.5,1421,"Porter, Mrs. Jeanette",female,3,1
30-44,34.2,1422,"Rodgers, Col. Thomas",male,3,0
0-17,7.8,1423,"Owens, Countess. Andrea",female,1,1
30-44,37.6,1424,"Miles, Sir. Robert",male,1,0
30-44,34.6,1425,"Palmer, Mrs. Olivia",female,1,1
30-44,39.8,1426,"Kramer, Dr. Amanda",female,1,1
30-44,33.7,1427,"Clark, Col. Joel",male,2,0
30-44,30.3,1428,"Figueroa, Lady. Elizabeth",female,1,1
30-44,36.7,1429,"Ballard, Dr. Curtis",male,1,1
45-59,50.1,1430,"Oliver, Countess. Cynthia",female,1,1
18-29,23.0,1431,"Smith, Mr. Brian",male,3,0
30-44,35.7,1432,"Moore, Dr. Scott",male,3,0
30-44,36.8,1433,"Scott, Col. Cole",male,1,0
30-44,38.3,1434,"Bowman, Lady. Debra",female,1,1
45-59,52.9,1435,"Hunt, Mr. Anthony",male,1,1
18-29,25.7,1436,"Horton, Mr. Jared",male,1,0
30-44,41.0,1437,"Nelson, Mr. Sean",male,2,0
18-29,20.5,1438,"Johnson, Dr. Michael",male,1,0
0-17,0.4,1439,"Kelly, Countess. Pamela",female,1,1
30-44,41.6,1440,"Miller, Rev. Matthew",male,1,0
18-29,24.6,1441,"Roberts, Countess. Christina",female,2,1
0-17,0.4,1442,"Smith, Dr. Jeffrey",male,1,0
45-59,50.3,1443,"Mcdaniel, Col. Patrick",male,1,0
30-44,33.0,1444,"Smith, Col. Daniel",male,1,0
18-29,21.3,1445,"Grant, Countess. Natalie",female,3,1
45-59,48.5,1446,"Coleman, Sir. Dylan",male,1,0
18-29,21.0,1447,"Jones, Major. Michael",male,1,0
0-17,15.1,1448,"Middleton, Miss. Laura",female,1,1
45-59,51.2,1449,"Flores, Major. Brian",male,1,0
30-44,41.4,1450,"Mckinney, Countess. Rebecca",female,1,1
0-17,17.3,1451,"Martinez, Dr. Victor",male,3,1
30-44,43.6,1452,"Walker, Dr. Daniel",male,2,0
18-29,28.3,1453,"Smith, Rev. Christopher",male,1,0
60+,68.3,1454,"Gonzalez, Col. Jeffery",male,1,1
45-59,58.5,1455,"Smith, Dr. Blake",male,1,1
0-17,5.5,1456,"Jackson, Col. John",male,3,0
30-44,42.2,1457,"Walker, Col. Samuel",male,2,0
30-44,30.8,1458,"Mccormick, Mr. John",male,2,1
30-44,41.3,1459,"Vasquez, Col. Jeremiah",male,2,0
30-44,37.2,1460,"Spencer, Col. Calvin",male,3,1
30-44,35.1,1461,"Hatfield, Rev. Robert",male,3,1
0-17,7.1,1462,"Fischer, Lady. Ashley",female,2,1
0-17,15.8,1463,"Miller, Rev. Cody",male,3,0
30-44,35.3,1464,"Allen, Major. Jerry",male,1,0
30-44,30.6,1465,"Gomez, Sir. Sergio",male,1,0
45-59,47.5,1466,"Knight, Rev. Brett",male,1,1
18-29,22.6,1467,"Moore, Rev. Brandon",male,3,0
30-44,41.7,1468,"Johnson, Major. Christopher",male,1,1
30-44,30.5,1469,"Henry, Major. Andrew",male,2,1
30-44,43.4,1470,"Adams, Major. Michael",male,1,0
30-44,34.7,1471,"Huff, Major. Jared",male,1,0
18-29,18.9,1472,"Ray, Lady. Jennifer",female,3,1
45-59,50.1,1473,"Smith, Mrs. Melinda",female,3,0
30-44,35.1,1474,"Burch, Dr. Matthew",male,2,0
18-29,24.8,1475,"Miller, Sir. Jerome",male,3,0
0-17,5.8,1476,"Poole, Mr. Ryan",male,3,0
0-17,9.4,1477,"Hernandez, Lady. Gina",female,3,1
18-29,18.7,1478,"Lopez, Rev. Wayne",male,1,1
30-44,43.3,1479,"Farrell, Rev. Shane",male,1,1
30-44,33.6,1480,"Baker, Col. James",male,1,1
45-59,45.9,1481,"Carlson, Rev. Tony",male,1,1
30-44,31.1,1482,"Harmon, Countess. Monique",female,1,1
45-59,54.8,1483,"Clarke, Sir. Jonathan",male,1,0
30-44,30.1,1484,"Young, Mr. Alexander",male,2,0
45-59,54.8,1485,"Francis, Major. Dean",male,1,0
45-59,45.8,1486,"Conley, Mrs. Julie",female,1,1
30-44,38.0,1487,"Gray, Mr. Kenneth",male,3,0
18-29,27.2,1488,"Chen, Countess. Wendy",female,1,1
0-17,9.0,1489,"Davis, Rev. Anthony",male,1,0
0-17,9.2,1490,"Ashley, Countess. Madeline",female,3,0
18-29,21.2,1491,"Lucas, Dr. Mackenzie",female,1,1
18-29,24.4,1492,"Walker, Mrs. Janice",female,3,0
30-44,42.8,1493,"Myers, Dr. Patrick",male,1,1
30-44,37.3,1494,"Brock, Dr. Jasmine",female,2,1
60+,61.3,1495,"Hicks, Col. Jeffrey",male,1,1
0-17,0.4,1496,"Ayers, Miss. Elizabeth",female,2,1
30-44,37.9,1497,"Gomez, Col. Tyrone",male,1,0
0-17,14.1,1498,"Hawkins, Rev. Jack",male,2,0
45-59,45.9,1499,"Barnett, Col. Terry",male,2,0
0-17,8.4,1500,"Park, Lady. Debra",female,3,0
0-17,10.3,1501,"Manning, Major. Carl",male,1,0
60+,63.8,1502,"Huber, Col. Eric",male,1,0
30-44,37.9,1503,"Rowe, Rev. Chad",male,2,0
45-59,56.4,1504,"Lester, Major. Andre",male,1,1
30-44,39.1,1505,"Boyer, Miss. Emily",female,2,0
18-29,24.1,1506,"Hernandez, Dr. Michael",male,2,1
18-29,23.6,1507,"Escobar, Mrs. Joyce",female,1,1
18-29,28.9,1508,"Castillo, Col. Paul",male,1,0
30-44,31.2,1509,"Christian, Col. Anthony",male,3,0
30-44,34.7,1510,"Williams, Countess. Danielle",female,2,1
45-59,51.2,1511,"Snow, Dr. Brandon",male,1,0
0-17,13.4,1512,"Wilson, Rev. Matthew",male,3,0
30-44,31.2,1513,"Evans, Major. Douglas",male,3,0
30-44,42.1,1514,"Mendez, Dr. Cynthia",female,1,1
0-17,4.8,1515,"Freeman, Rev. William",male,2,0
18-29,22.9,1516,"Carlson, Dr. Crystal",female,1,1
30-44,35.3,1517,"Mcbride, Countess. Brooke",female,1,1
18-29,24.0,1518,"Hale, Major. Kenneth",male,3,0
30-44,35.6,1519,"Thomas, Mr. Cameron",male,1,0
18-29,19.9,1520,"Miller, Miss. Shannon",female,3,0
45-59,56.0,1521,"Webb, Col. Charles",male,1,1
45-59,48.7,1522,"Phillips, Sir. Daniel",male,1,1
30-44,41.0,1523,"Fuller, Major. Jeremy",male,1,1
18-29,22.5,1524,"Hunter, Lady. Ashley",female,1,1
60+,60.9,1525,"Phillips, Col. Alexander",male,1,1
30-44,32.9,1526,"Harris, Col. Brandon",male,1,0
45-59,46.4,1527,"Silva, Major. William",male,2,0
45-59,49.9,1528,"Gibbs, Mrs. Rachel",female,1,1
18-29,22.0,1529,"Carpenter, Miss. Shelby",female,1,1
0-17,17.4,1530,"Foster, Major. Luke",male,3,0
45-59,48.0,1531,"Kelly, Col. Lance",male,1,0
0-17,12.9,1532,"Hendrix, Col. Jeffrey",male,3,0
18-29,29.1,1533,"Moore, Dr. Lauren",female,2,1
30-44,34.3,1534,"Davis, Sir. Wesley",male,2,1
30-44,43.3,1535,"Long, Mr. Jordan",male,3,0
18-29,24.5,1536,"James, Sir. John",male,1,0
45-59,55.9,1537,"Olson, Lady. Kristen",female,1,1
18-29,25.4,1538,"Morales, Rev. Shaun",male,3,0
45-59,50.4,1539,"Rivers, Miss. Lindsey",female,1,1
0-17,10.4,1540,"Stephens, Lady. Hannah",female,1,1
18-29,25.4,1541,"Henderson, Mrs. Jennifer",female,3,0
30-44,37.0,1542,"Morgan, Sir. Kenneth",male,1,0
30-44,38.3,1543,"Bullock, Miss. Katherine",female,1,1
30-44,44.0,1544,"Branch, Col. Samuel",male,1,0
45-59,51.2,1545,"Khan, Col. Christopher",male,1,0
45-59,57.0,1546,"Zimmerman, Mr. Nathan",male,1,1
30-44,36.8,1547,"Ramirez, Major. Dylan",male,2,0
0-17,6.6,1548,"Hughes, Col. Darrell",male,2,0
30-44,38.1,1549,"Stafford, Mr. Michael",male,1,0
30-44,34.5,1550,"Smith, Major. Raymond",male,1,1
0-17,15.2,1551,"Ruiz, Sir. Kevin",male,1,1
18-29,21.4,1552,"Ramirez, Dr. Larry",male,1,1
30-44,35.7,1553,"Edwards, Sir. Victor",male,3,0
45-59,55.7,1554,"Gonzalez, Rev. James",male,1,0
18-29,22.5,1555,"Levine, Rev. Brandon",male,3,0
30-44,43.9,1556,"Clay, Sir. John",male,1,0
0-17,10.5,1557,"Patterson, Mr. Christopher",male,3,0
30-44,30.9,1558,"Briggs, Dr. Logan",male,1,0
0-17,15.1,1559,"Neal, Dr. Jenna",female,1,1
45-59,49.2,1560,"Brooks, Major. Richard",male,1,1
18-29,29.5,1561,"Oconnor, Sir. Jack",male,2,0
18-29,24.1,1562,"Rodriguez, Lady. Jody",female,1,1
45-59,47.0,1563,"Wong, Lady. Ashley",female,1,1
0-17,16.1,1564,"Rivera, Sir. Edward",male,2,0
45-59,50.1,1565,"Hawkins, Mr. Jeremy",male,3,0
30-44,36.2,1566,"Gordon, Miss. Courtney",female,1,1
45-59,56.8,1567,"Aguilar, Col. Joshua",male,1,0
30-44,37.5,1568,"White, Major. Cole",male,1,1
18-29,23.0,1569,"Porter, Sir. Mark",male,1,0
45-59,45.7,1570,"Adams, Mr. Joshua",male,1,1
45-59,48.2,1571,"Smith, Rev. Ivan",male,1,1
18-29,22.1,1572,"Rodriguez, Major. Mark",male,1,0
18-29,29.7,1573,"Hernandez, Sir. Tracy",male,1,1
30-44,38.3,1574,"Shelton, Lady. Alyssa",female,1,1
30-44,41.1,1575,"Wilkinson, Mrs. Amy",female,1,1
0-17,5.3,1576,"Johnston, Miss. Jennifer",female,2,1
30-44,43.1,1577,"Anderson, Rev. Jeremy",male,1,1
0-17,4.7,1578,"Prince, Sir. Matthew",male,1,0
30-44,34.9,1579,"Harrison, Dr. Adam",male,1,0
18-29,27.6,1580,"Davis, Dr. Hunter",male,1,0
45-59,47.3,1581,"Good, Dr. Gregory",male,1,0
18-29,28.8,1582,"Matthews, Major. Christian",male,3,1
30-44,33.4,1583,"White, Rev. Alexander",male,2,0
0-17,8.1,1584,"Miller, Countess. Beverly",female,2,1
18-29,27.9,1585,"Clark, Miss. Kaitlin",female,2,1
0-17,11.6,1586,"Contreras, Dr. Christopher",male,1,0
30-44,40.7,1587,"Adams, Major. Christian",male,1,0
45-59,52.5,1588,"Christian, Dr. Thomas",male,1,0
30-44,32.8,1589,"Diaz, Mrs. Adriana",female,1,1
30-44,31.0,1590,"Torres, Major. Sean",male,3,0
0-17,15.2,1591,"Brown, Dr. Chelsea",female,2,1
60+,68.8,1592,"Strong, Col. Douglas",male,1,0
18-29,18.2,1593,"Richardson, Miss. Elizabeth",female,3,1
30-44,35.4,1594,"Ball, Mr. Dalton",male,3,0
18-29,27.2,1595,"Madden, Sir. Kevin",male,1,0
30-44,42.5,1596,"Chen, Mrs. Denise",female,2,1
30-44,40.2,1597,"Johnson, Miss. Amy",female,2,1
0-17,17.0,1598,"Maldonado, Dr. Natalie",female,3,1
45-59,51.7,1599,"Powell, Dr. Michael",male,1,0
45-59,47.6,1600,"Garner, Dr. Taylor",female,1,1
0-17,17.0,1601,"Spears, Dr. Taylor",female,2,1
30-44,30.8,1602,"Padilla, Major. Matthew",male,2,0
30-44,34.8,1603,"Thomas, Countess. Heather",female,2,1
30-44,32.5,1604,"Smith, Dr. Caitlyn",female,2,1
30-44,38.1,1605,"Roberts, Mr. William",male,3,0
30-44,37.4,1606,"Rodriguez, Mr. Albert",male,2,0
18-29,27.8,1607,"White, Dr. Shannon",female,1,0
45-59,51.8,1608,"Ramirez, Mrs. Yolanda",female,1,1
45-59,56.2,1609,"Jackson, Rev. Kelly",male,1,1
18-29,23.1,1610,"Perez, Sir. Kurt",male,2,0
18-29,24.5,1611,"Winters, Mr. Joseph",male,2,0
18-29,20.8,1612,"Cox, Col. Mark",male,1,1
30-44,42.8,1613,"Hall, Lady. Savannah",female,1,1
18-29,18.3,1614,"Allen, Dr. Christopher",male,1,0
45-59,56.8,1615,"Stevens, Rev. Justin",male,1,0
30-44,30.1,1616,"Mitchell, Rev. Andrew",male,3,0
18-29,28.5,1617,"Kirk, Major. Nicholas",male,2,1
45-59,52.4,1618,"Kemp, Major. Kyle",male,1,0
30-44,41.5,1619,"Luna, Lady. Jennifer",female,2,1
30-44,36.6,1620,"Stephens, Countess. Jessica",female,1,1
18-29,26.4,1621,"Hernandez, Dr. Charles",male,1,1
30-44,32.0,1622,"Young, Lady. Sarah",female,1,1
30-44,39.8,1623,"White, Countess. Sheila",female,3,1
45-59,51.9,1624,"Francis, Dr. Kelly",female,1,1
45-59,46.3,1625,"Herrera, Major. Robert",male,1,0
60+,64.3,1626,"Jenkins, Sir. Robert",male,1,0
45-59,51.8,1627,"Knight, Lady. Tammy",female,1,1
0-17,16.8,1628,"Cooley, Sir. John",male,1,0
18-29,24.9,1629,"Williams, Mr. Robert",male,2,0
18-29,23.4,1630,"Allen, Major. Russell",male,1,0
30-44,40.6,1631,"King, Dr. Monica",female,1,1
30-44,39.2,1632,"Davis, Mr. Jesse",male,1,1
30-44,43.4,1633,"Alvarado, Major. Michael",male,1,1
45-59,54.9,1634,"Reed, Countess. Barbara",female,1,1
18-29,22.0,1635,"Warren, Rev. Eric",male,3,0
18-29,19.8,1636,"Martin, Sir. Drew",male,1,0
30-44,36.5,1637,"White, Mrs. Emily",female,1,1
45-59,52.5,1638,"Robertson, Countess. Alexis",female,1,0
30-44,42.7,1639,"Anderson, Major. Christopher",male,1,1
0-17,15.7,1640,"Carlson, Major. Lance",male,3,0
30-44,42.4,1641,"Carroll, Sir. Eduardo",male,1,0
18-29,27.9,1642,"Meyers, Major. Bruce",male,2,0
45-59,45.9,1643,"Robinson, Dr. Philip",male,1,1
0-17,0.2,1644,"Leon, Major. Allen",male,3,1
30-44,39.3,1645,"Weaver, Dr. Christopher",male,2,0
18-29,19.7,1646,"West, Rev. Brandon",male,2,0
45-59,59.9,1647,"Smith, Rev. Christopher",male,1,1
30-44,39.1,1648,"Parker, Dr. Nancy",female,1,1
45-59,50.3,1649,"Cunningham, Sir. Richard",male,1,1
30-44,36.0,1650,"White, Major. John",male,1,0
45-59,49.4,1651,"Matthews, Major. David",male,1,0
30-44,39.2,1652,"Smith, Lady. Brenda",female,1,1
45-59,53.9,1653,"Holmes, Dr. Shawn",male,1,1
30-44,42.5,1654,"Harris, Col. Walter",male,1,0
0-17,15.0,1655,"Lara, Major. Vincent",male,1,0
0-17,15.5,1656,"King, Countess. Denise",female,2,1
18-29,28.2,1657,"Norris, Dr. Denise",female,2,1
0-17,14.3,1658,"Phillips, Countess. Christina",female,1,0
0-17,12.7,1659,"Wolf, Sir. Michael",male,2,0
45-59,59.6,1660,"Sexton, Rev. Jon",male,1,1
30-44,30.0,1661,"Barrera, Miss. Cheyenne",female,1,1
18-29,25.9,1662,"Roberts, Rev. Keith",male,2,0
30-44,36.4,1663,"Johnson, Mrs. Lindsey",female,3,1
18-29,25.6,1664,"Wagner, Dr. Danielle",female,2,1
18-29,28.1,1665,"Grimes, Mrs. Helen",female,2,1
18-29,19.9,1666,"Jones, Major. Christopher",male,2,0
18-29,18.7,1667,"Robertson, Dr. Jeremiah",male,3,0
30-44,43.6,1668,"Powell, Dr. Reginald",male,1,1
30-44,31.7,1669,"Joseph, Miss. Tanya",female,1,1
45-59,48.3,1670,"Villanueva, Rev. Jason",male,1,0
30-44,42.3,1671,"Fernandez, Dr. Michael",male,1,1
45-59,50.5,1672,"Buckley, Miss. Marissa",female,1,1
30-44,43.2,1673,"Sawyer, Mr. Andrew",male,1,1
18-29,22.3,1674,"Miller, Rev. Jerry",male,1,0
45-59,45.3,1675,"Jones, Countess. Sabrina",female,1,1
45-59,46.7,1676,"Potter, Miss. Crystal",female,3,0
30-44,34.8,1677,"Mclaughlin, Col. Jason",male,1,1
0-17,5.4,1678,"Wall, Miss. Ann",female,1,1
18-29,23.0,1679,"Hubbard, Sir. James",male,2,1
0-17,10.4,1680,"Robinson, Mr. James",male,2,0
18-29,26.1,1681,"Glover, Rev. Juan",male,3,0
30-44,30.7,1682,"Young, Col. Matthew",male,2,0
18-29,20.6,1683,"Brewer, Dr. James",male,3,0
18-29,23.1,1684,"Harding, Sir. Isaiah",male,3,0
18-29,28.0,1685,"Holmes, Mr. Gregory",male,2,0
30-44,32.3,1686,"Barnett, Rev. Christopher",male,2,0
45-59,52.3,1687,"Rodriguez, Major. David",male,1,0
45-59,53.6,1688,"Brooks, Mr. Austin",male,1,0
0-17,16.0,1689,"Hamilton, Sir. Michael",male,2,0
0-17,5.9,1690,"Rice, Lady. Haley",female,1,1
30-44,34.3,1691,"Mcdonald, Rev. Joshua",male,3,1
18-29,29.7,1692,"Richard, Mrs. Melissa",female,3,1
45-59,47.0,1693,"Salazar, Mr. Joseph",male,1,0
45-59,53.9,1694,"Rodriguez, Col. Joseph",male,1,0
0-17,12.4,1695,"Flowers, Mr. David",male,1,0
18-29,21.0,1696,"Diaz, Dr. Alicia",female,1,1
18-29,19.0,1697,"Murphy, Miss. Sandra",female,3,1
30-44,38.8,1698,"Roberts, Dr. Christina",female,1,1
45-59,58.1,1699,"Sanchez, Major. Kevin",male,1,0
30-44,38.9,1700,"Charles, Dr. Gene",male,1,0
18-29,20.9,1701,"Guzman, Col. Jason",male,3,0
18-29,22.7,1702,"Duffy, Sir. Brian",male,1,0
45-59,57.3,1703,"Cook, Miss. Jennifer",female,1,1
30-44,43.3,1704,"Thompson, Dr. Kenneth",male,1,0
18-29,19.2,1705,"Greene, Mr. Allen",male,3,0
0-17,5.9,1706,"Madden, Miss. Kimberly",female,1,1
0-17,14.8,1707,"Gentry, Miss. Robin",female,3,0
30-44,41.9,1708,"Taylor, Major. Steve",male,1,0
30-44,34.1,1709,"Garcia, Dr. Nicole",female,1,1
