Embarked,Survived,PassengerId,Name,Pclass,Sex,Age
S,0,1592,"Strong, Col. Douglas",1,male,68.8
S,1,1593,"Richardson, Miss. Elizabeth",3,female,18.2
C,0,1594,"Ball, Mr. Dalton",3,male,35.4
S,0,1595,"Madden, Sir. Kevin",1,male,27.2
S,1,1596,"Chen, Mrs. Denise",2,female,42.5
Q,1,1597,"Johnson, Miss. Amy",2,female,40.2
S,1,1598,"Maldonado, Dr. Natalie",3,female,17.0
S,0,1599,"Powell, Dr. Michael",1,male,51.7
S,1,1600,"Garner, Dr. Taylor",1,female,47.6
S,1,1601,"Spears, Dr. Taylor",2,female,17.0
S,0,1602,"Padilla, Major. Matthew",2,male,30.8
S,1,1603,"Thomas, Countess. Heather",2,female,34.8
Q,1,1604,"Smith, Dr. Caitlyn",2,female,32.5
S,0,1605,"Roberts, Mr. William",3,male,38.1
C,0,1606,"Rodriguez, Mr. Albert",2,male,37.4
S,0,1607,"White, Dr. Shannon",1,female,27.8
S,1,1608,"Ramirez, Mrs. Yolanda",1,female,51.8
S,1,1609,"Jackson, Rev. Kelly",1,male,56.2
S,0,1610,"Perez, Sir. Kurt",2,male,23.1
S,0,1611,"Winters, Mr. Joseph",2,male,24.5
S,1,1612,"Cox, Col. Mark",1,male,20.8
S,1,1613,"Hall, Lady. Savannah",1,female,42.8
S,0,1614,"Allen, Dr. Christopher",1,male,18.3
S,0,1615,"Stevens, Rev. Justin",1,male,56.8
S,0,1616,"Mitchell, Rev. Andrew",3,male,30.1
S,1,1617,"Kirk, Major. Nicholas",2,male,28.5
S,0,1618,"Kemp, Major. Kyle",1,male,52.4
Q,1,1619,"Luna, Lady. Jennifer",2,female,41.5
S,1,1620,"Stephens, Countess. Jessica",1,female,36.6
S,1,1621,"Hernandez, Dr. Charles",1,male,26.4
C,1,1622,"Young, Lady. Sarah",1,female,32.0
Q,1,1623,"White, Countess. Sheila",3,female,39.8
C,1,1624,"Francis, Dr. Kelly",1,female,51.9
C,0,1625,"Herrera, Major. Robert",1,male,46.3
S,0,1626,"Jenkins, Sir. Robert",1,male,64.3
S,1,1627,"Knight, Lady. Tammy",1,female,51.8
S,0,1628,"Cooley, Sir. John",1,male,16.8
S,0,1629,"Williams, Mr. Robert",2,male,24.9
S,0,1630,"Allen, Major. Russell",1,male,23.4
S,1,1631,"King, Dr. Monica",1,female,40.6
Q,1,1632,"Davis, Mr. Jesse",1,male,39.2
S,1,1633,"Alvarado, Major. Michael",1,male,43.4
S,1,1634,"Reed, Countess. Barbara",1,female,54.9
S,0,1635,"Warren, Rev. Eric",3,male,22.0
C,0,1636,"Martin, Sir. Drew",1,male,19.8
S,1,1637,"White, Mrs. Emily",1,female,36.5
C,0,1638,"Robertson, Countess. Alexis",1,female,52.5
S,1,1639,"Anderson, Major. Christopher",1,male,42.7
S,0,1640,"Carlson, Major. Lance",3,male,15.7
S,0,1641,"Carroll, Sir. Eduardo",1,male,42.4
S,0,1642,"Meyers, Major. Bruce",2,male,27.9
Q,1,1643,"Robinson, Dr. Philip",1,male,45.9
S,1,1644,"Leon, Major. Allen",3,male,0.2
S,0,1645,"Weaver, Dr. Christopher",2,male,39.3
S,0,1646,"West, Rev. Brandon",2,male,19.7
Q,1,1647,"Smith, Rev. Christopher",1,male,59.9
C,1,1648,"Parker, Dr. Nancy",1,female,39.1
S,1,1649,"Cunningham, Sir. Richard",1,male,50.3
S,0,1650,"White, Major. John",1,male,36.0
S,0,1651,"Matthews, Major. David",1,male,49.4
Q,1,1652,"Smith, Lady. Brenda",1,female,39.2
S,1,1653,"Holmes, Dr. Shawn",1,male,53.9
S,0,1654,"Harris, Col. Walter",1,male,42.5
S,0,1655,"Lara, Major. Vincent",1,male,15.0
C,1,1656,"King, Countess. Denise",2,female,15.5
C,1,1657,"Norris, Dr. Denise",2,female,28.2
C,0,1658,"Phillips, Countess. Christina",1,female,14.3
Q,0,1659,"Wolf, Sir. Michael",2,male,12.7
C,1,1660,"Sexton, Rev. Jon",1,male,59.6
S,1,1661,"Barrera, Miss. Cheyenne",1,female,30.0
S,0,1662,"Roberts, Rev. Keith",2,male,25.9
C,1,1663,"Johnson, Mrs. Lindsey",3,female,36.4
S,1,1664,"Wagner, Dr. Danielle",2,female,25.6
S,1,1665,"Grimes, Mrs. Helen",2,female,28.1
S,0,1666,"Jones, Major. Christopher",2,male,19.9
S,0,1667,"Robertson, Dr. Jeremiah",3,male,18.7
S,1,1668,"Powell, Dr. Reginald",1,male,43.6
C,1,1669,"Joseph, Miss. Tanya",1,female,31.7
S,0,1670,"Villanueva, Rev. Jason",1,male,48.3
S,1,1671,"Fernandez, Dr. Michael",1,male,42.3
S,1,1672,"Buckley, Miss. Marissa",1,female,50.5
S,1,1673,"Sawyer, Mr. Andrew",1,male,43.2
S,0,1674,"Miller, Rev. Jerry",1,male,22.3
S,1,1675,"Jones, Countess. Sabrina",1,female,45.3
S,0,1676,"Potter, Miss. Crystal",3,female,46.7
S,1,1677,"Mclaughlin, Col. Jason",1,male,34.8
S,1,1678,"Wall, Miss. Ann",1,female,5.4
S,1,1679,"Hubbard, Sir. James",2,male,23.0
S,0,1680,"Robinson, Mr. James",2,male,10.4
S,0,1681,"Glover, Rev. Juan",3,male,26.1
S,0,1682,"Young, Col. Matthew",2,male,30.7
S,0,1683,"Brewer, Dr. James",3,male,20.6
S,0,1684,"Harding, Sir. Isaiah",3,male,23.1
C,0,1685,"Holmes, Mr. Gregory",2,male,28.0
S,0,1686,"Barnett, Rev. Christopher",2,male,32.3
S,0,1687,"Rodriguez, Major. David",1,male,52.3
Q,0,1688,"Brooks, Mr. Austin",1,male,53.6
S,0,1689,"Hamilton, Sir. Michael",2,male,16.0
S,1,1690,"Rice, Lady. Haley",1,female,5.9
S,1,1691,"Mcdonald, Rev. Joshua",3,male,34.3
S,1,1692,"Richard, Mrs. Melissa",3,female,29.7
C,0,1693,"Salazar, Mr. Joseph",1,male,47.0
S,0,1694,"Rodriguez, Col. Joseph",1,male,53.9
S,0,1695,"Flowers, Mr. David",1,male,12.4
Q,1,1696,"Diaz, Dr. Alicia",1,female,21.0
S,1,1697,"Murphy, Miss. Sandra",3,female,19.0
C,1,1698,"Roberts, Dr. Christina",1,female,38.8
S,0,1699,"Sanchez, Major. Kevin",1,male,58.1
S,0,1700,"Charles, Dr. Gene",1,male,38.9
S,0,1701,"Guzman, Col. Jason",3,male,20.9
S,0,1702,"Duffy, Sir. Brian",1,male,22.7
S,1,1703,"Cook, Miss. Jennifer",1,female,57.3
S,0,1704,"Thompson, Dr. Kenneth",1,male,43.3
S,0,1705,"Greene, Mr. Allen",3,male,19.2
S,1,1706,"Madden, Miss. Kimberly",1,female,5.9
S,0,1707,"Gentry, Miss. Robin",3,female,14.8
S,0,1708,"Taylor, Major. Steve",1,male,41.9
S,1,1709,"Garcia, Dr. Nicole",1,female,34.1
S,0,1710,"Collins, Mr. Mark",2,male,36.9
S,0,1711,"Graves, Col. Brian",1,male,61.4
Q,0,1712,"Johnson, Col. Matthew",1,male,46.9
S,0,1713,"Burgess, Mr. Russell",1,male,39.7
S,1,1714,"Flores, Miss. Brooke",2,female,36.7
S,0,1715,"Torres, Rev. Justin",2,male,36.8
S,1,1716,"Jackson, Sir. Robert",1,male,60.5
S,1,1717,"May, Dr. Jeffrey",2,male,26.7
S,1,1718,"Watkins, Dr. Peter",1,male,53.7
C,1,1719,"Ewing, Mrs. Ann",3,female,4.0
S,1,1720,"Russo, Mr. Christopher",1,male,64.6
C,0,1721,"Bowers, Rev. Eduardo",1,male,25.2
S,0,1722,"Coleman, Mr. Christian",1,male,57.3
Q,0,1723,"Rivera, Col. Michael",1,male,33.5
C,0,1724,"Mcdonald, Mrs. Ashley",3,female,22.5
S,1,1725,"Boyer, Dr. Mark",1,male,50.6
C,1,1726,"Stokes, Dr. Lori",3,female,9.1
S,0,1727,"Williams, Col. Jeremy",1,male,63.3
Q,1,1728,"Gentry, Rev. Mark",1,male,36.4
Q,1,1729,"Wagner, Col. Christopher",1,male,34.3
C,1,1730,"Miller, Miss. Donna",1,female,24.1
S,0,1731,"Clark, Sir. Derek",1,male,27.4
S,1,1732,"Cook, Dr. Lisa",2,female,33.9
Q,0,1733,"Adkins, Mr. David",1,male,38.4
Q,0,1734,"Smith, Mr. Howard",2,male,34.8
S,1,1735,"Smith, Miss. Jenna",2,female,20.2
S,1,1736,"Wilkerson, Rev. Charles",3,male,16.4
S,1,1737,"Kline, Miss. Shannon",1,female,42.5
S,0,1738,"Franco, Major. Bobby",3,male,18.4
S,0,1739,"Douglas, Mr. Edwin",1,male,59.9
S,0,1740,"Roberts, Mr. Scott",2,male,23.1
C,0,1741,"Rodgers, Sir. Brian",3,male,38.1
S,0,1742,"Lawson, Major. Matthew",1,male,9.9
C,1,1743,"Andrews, Miss. Patricia",1,female,39.1
S,1,1744,"Martinez, Mrs. Katelyn",2,female,33.2
S,1,1745,"Hancock, Miss. Cristina",1,female,45.9
C,0,1746,"Morrow, Miss. Alyssa",3,female,17.3
S,0,1747,"Hall, Rev. Joseph",1,male,40.8
S,1,1748,"Howard, Dr. Molly",1,female,39.1
S,0,1749,"Nichols, Rev. Matthew",1,male,31.9
S,0,1750,"Cox, Col. Michael",3,male,24.0
C,1,1751,"Johnson, Mrs. Holly",1,female,33.1
S,1,1752,"Macias, Lady. Elizabeth",1,female,50.5
Q,0,1753,"Li, Lady. Sarah",3,female,21.7
C,0,1754,"Chavez, Col. Anthony",3,male,13.3
S,0,1755,"Thomas, Sir. Robert",1,male,58.9
S,1,1756,"Hernandez, Miss. Janice",1,female,49.9
Q,1,1757,"Hunter, Col. Aaron",3,male,24.8
S,1,1758,"Frey, Mrs. Kristina",2,female,17.0
C,1,1759,"Yates, Major. Darrell",1,male,60.9
C,1,1760,"Jimenez, Dr. Angela",2,female,49.0
C,0,1761,"Collins, Mr. David",1,male,34.5
S,1,1762,"Alexander, Dr. Marc",2,male,49.1
C,0,1763,"Williams, Mr. Nicholas",1,male,41.6
C,1,1764,"Burke, Countess. Julia",2,female,41.9
S,1,1765,"Fisher, Dr. Melissa",1,female,43.6
S,1,1766,"Olson, Countess. Carrie",1,female,53.7
S,1,1767,"Boyle, Major. Bryan",1,male,18.5
S,0,1768,"West, Dr. Amber",3,female,19.7
C,0,1769,"Long, Major. Joshua",1,male,37.3
C,0,1770,"Brown, Sir. Miguel",2,male,24.2
C,0,1771,"Roberts, Rev. Jason",3,male,44.0
C,0,1772,"Lambert, Rev. Walter",1,male,59.8
C,1,1773,"Silva, Dr. Kathy",1,female,33.7
S,0,1774,"Rodgers, Major. Evan",1,male,50.3
S,1,1775,"Weaver, Miss. Katie",1,female,35.4
S,0,1776,"Jones, Major. Thomas",1,male,50.7
C,1,1777,"Summers, Countess. Krystal",2,female,35.4
Q,0,1778,"Ramirez, Mr. Timothy",2,male,44.7
Q,0,1779,"Gibbs, Dr. Anthony",1,male,15.7
S,0,1780,"Rodriguez, Col. Michael",2,male,50.3
S,0,1781,"Davenport, Rev. Jason",1,male,48.1
Q,0,1782,"Mcguire, Countess. Kristin",3,female,19.0
S,0,1783,"Cortez, Col. Christian",2,male,8.7
S,0,1784,"Clayton, Sir. Manuel",3,male,53.8
S,1,1785,"Howard, Mrs. Rebecca",2,female,6.6
S,1,1786,"Ramos, Mrs. Cindy",1,female,34.5
Q,1,1787,"Goodwin, Rev. Michael",1,male,39.5
S,0,1788,"Lopez, Col. Daniel",3,male,20.5
S,0,1789,"Jones, Dr. Jon",1,male,46.7
S,1,1790,"Joyce, Major. Kyle",1,male,34.8
S,1,1791,"Velazquez, Sir. Derek",2,male,34.1
S,0,1792,"Lee, Rev. Victor",3,male,33.2
S,0,1793,"Johnson, Dr. John",1,male,36.7
S,1,1794,"Brooks, Col. Steven",1,male,42.8
S,1,1795,"Baker, Rev. Jeffrey",1,male,23.7
S,0,1796,"Gonzalez, Mr. Jerry",2,male,33.6
S,1,1797,"Buck, Dr. Dana",3,female,8.8
S,0,1798,"Barron, Dr. Steven",1,male,50.7
S,1,1799,"Smith, Dr. Jose",3,male,41.2
Q,0,1800,"Figueroa, Col. Derek",1,male,73.9
S,1,1801,"Cook, Miss. Amber",3,female,5.0
S,1,1802,"Cunningham, Mrs. Jennifer",1,female,38.8
S,0,1803,"Briggs, Dr. Alex",1,male,57.3
S,1,1804,"Castro, Major. Christian",1,male,48.1
S,1,1805,"Vargas, Mrs. Paige",1,female,45.7
S,0,1806,"Snow, Sir. David",1,male,65.2
Q,1,1807,"King, Rev. Joshua",1,male,51.6
S,0,1808,"Bradley, Mr. Michael",1,male,52.3
S,1,1809,"Ramirez, Miss. Tiffany",1,female,26.6
C,1,1810,"Clark, Col. Christopher",2,male,5.7
C,0,1811,"Poole, Col. Alexander",3,male,17.0
S,1,1812,"Haynes, Dr. Jason",1,male,54.3
S,0,1813,"Ho, Rev. Keith",3,male,32.8
S,1,1814,"Hernandez, Major. Zachary",1,male,26.4
S,0,1815,"Mitchell, Rev. Brian",3,male,22.3
S,0,1816,"Lowe, Dr. Eric",1,male,53.4
S,1,1817,"Hickman, Miss. Leslie",2,female,46.6
S,0,1818,"Anderson, Dr. Scott",1,male,50.7
S,0,1819,"Gonzalez, Dr. Joshua",1,male,22.7
C,0,1820,"Smith, Sir. Michael",1,male,46.9
S,0,1821,"Rodriguez, Sir. Larry",3,male,22.8
S,0,1822,"Ramirez, Col. Benjamin",1,male,41.9
S,0,1823,"Rodriguez, Rev. Ricardo",3,male,33.2
S,0,1824,"Hernandez, Major. Christopher",2,male,46.4
Q,0,1825,"Price, Major. Richard",1,male,61.4
S,1,1826,"Christensen, Mr. Jason",1,male,49.8
Q,0,1827,"Hancock, Mr. Frank",1,male,35.7
S,0,1828,"Mcguire, Miss. Autumn",3,female,23.2
C,0,1829,"Henderson, Rev. Eric",3,male,4.4
S,1,1830,"Davis, Sir. Ryan",1,male,42.1
S,0,1831,"Glover, Major. David",3,male,41.8
S,0,1832,"Schroeder, Col. Chad",3,male,0.4
S,1,1833,"Adams, Major. Cody",1,male,63.4
S,0,1834,"Rowland, Major. Christopher",2,male,38.7
S,1,1835,"Brown, Mr. Matthew",1,male,35.1
C,0,1836,"Johnson, Col. Justin",3,male,41.1
S,0,1837,"Eaton, Mr. Jeff",1,male,58.2
C,0,1838,"Nolan, Dr. Laura",3,female,20.1
S,1,1839,"Johnston, Rev. Chad",3,male,10.9
S,0,1840,"Davis, Major. Corey",2,male,55.5
S,0,1841,"Wilson, Sir. Michael",1,male,46.3
C,1,1842,"Ramirez, Sir. Joshua",1,male,53.9
S,0,1843,"Anderson, Rev. Christopher",1,male,51.8
S,0,1844,"White, Rev. William",1,male,45.0
S,0,1845,"Clements, Mr. Tyler",2,male,7.4
C,0,1846,"Howard, Mr. Daniel",2,male,6.9
S,0,1847,"Greene, Countess. Brittany",3,female,55.6
S,1,1848,"Johnson, Lady. Karen",1,female,56.5
S,0,1849,"Rodriguez, Rev. George",3,male,36.6
S,0,1850,"Pierce, Sir. Dennis",1,male,54.5
S,1,1851,"Poole, Countess. Megan",2,female,29.0
S,1,1852,"Taylor, Mrs. Jessica",2,female,5.5
S,0,1853,"Hart, Mrs. Dawn",3,female,25.9
S,0,1854,"Oliver, Col. Robert",3,male,27.2
S,1,1855,"Newton, Miss. Carolyn",1,female,44.3
S,1,1856,"Lee, Col. Steven",1,male,25.4
S,0,1857,"Sutton, Col. Peter",2,male,39.1
S,0,1858,"Banks, Rev. Alex",2,male,20.0
S,0,1859,"Diaz, Mr. Timothy",1,male,14.7
S,0,1860,"Harris, Mr. Jose",1,male,18.4
S,1,1861,"Wheeler, Rev. Adam",1,male,39.0
S,0,1862,"Cameron, Rev. William",1,male,28.1
S,0,1863,"Simpson, Sir. James",1,male,14.5
S,1,1864,"Jacobs, Dr. Jennifer",3,female,13.0
S,0,1865,"Phillips, Dr. Robert",2,male,40.7
S,0,1866,"Ford, Dr. David",1,male,56.6
C,1,1867,"Martinez, Major. Tony",1,male,52.3
S,0,1868,"Rodriguez, Major. James",3,male,21.2
C,0,1869,"Williams, Major. Troy",1,male,30.1
S,0,1870,"Mack, Dr. Angela",2,female,17.4
S,0,1871,"Cooper, Dr. Joseph",2,male,43.7
S,1,1872,"Contreras, Mr. Michael",1,male,28.4
Q,0,1873,"Thompson, Rev. Charles",2,male,7.7
C,0,1874,"Rodriguez, Major. Larry",2,male,28.2
S,0,1875,"Wright, Miss. Sheila",1,female,29.1
S,0,1876,"Walton, Major. Steven",1,male,17.8
S,0,1877,"Cooper, Sir. James",1,male,43.6
S,1,1878,"Walker, Miss. Crystal",2,female,13.8
S,1,1879,"Williamson, Major. Jay",3,male,35.6
S,0,1880,"Clarke, Sir. Anthony",1,male,41.3
S,1,1881,"Anderson, Miss. Krystal",1,female,51.0
S,0,1882,"Steele, Mr. Brian",2,male,17.0
C,0,1883,"Daugherty, Dr. Jose",1,male,4.9
S,0,1884,"Ramirez, Col. William",1,male,57.1
S,0,1885,"Moore, Col. Peter",1,male,27.5
S,1,1886,"Farmer, Mr. Jason",1,male,61.1
C,1,1887,"Kane, Mrs. Chelsea",3,female,14.4
S,1,1888,"Gibbs, Sir. Jordan",1,male,20.5
C,0,1889,"Smith, Mr. Richard",2,male,36.7
S,0,1890,"Mccarty, Major. Kevin",1,male,17.2
Q,1,1891,"Larson, Countess. Kim",3,female,26.4
C,0,1892,"Smith, Dr. Jeffrey",1,male,70.9
S,0,1893,"Barber, Sir. Jacob",2,male,6.5
S,0,1894,"Sanchez, Major. James",1,male,27.0
S,1,1895,"Collins, Major. Steven",1,male,40.2
S,1,1896,"Vasquez, Dr. Leonard",2,male,21.9
S,0,1897,"Graham, Mr. Nicholas",3,male,5.2
S,0,1898,"Rocha, Sir. Jason",1,male,49.4
S,0,1899,"Cruz, Mr. Anthony",1,male,58.7
S,1,1900,"Ferguson, Dr. Bridget",2,female,33.9
Q,1,1901,"Saunders, Countess. Deborah",1,female,17.9
C,1,1902,"Roberts, Mrs. Jennifer",1,female,36.8
S,1,1903,"Burgess, Miss. Kelly",2,female,35.3
S,0,1904,"King, Sir. Samuel",1,male,42.7
S,1,1905,"Robertson, Dr. Matthew",3,male,32.5
S,0,1906,"Luna, Rev. Anthony",2,male,37.1
S,0,1907,"Zamora, Mr. Arthur",3,male,26.8
S,1,1908,"Ward, Lady. Sara",1,female,37.3
S,0,1909,"Clark, Dr. Matthew",1,male,69.9
C,1,1910,"Hoover, Sir. Jason",1,male,52.7
S,1,1911,"Vasquez, Lady. Jacqueline",2,female,37.8
S,1,1912,"Sosa, Countess. Lynn",2,female,40.3
S,1,1913,"Wilson, Lady. Jennifer",1,female,41.2
Q,0,1914,"Lamb, Mr. Thomas",2,male,15.6
S,1,1915,"Zimmerman, Lady. Kelly",1,female,33.3
S,0,1916,"Ramirez, Mr. Brandon",2,male,30.0
S,0,1917,"Walters, Major. Derek",1,male,36.1
S,0,1918,"Kelly, Sir. Roy",3,male,21.0
S,0,1919,"Brandt, Col. Matthew",2,male,25.8
S,1,1920,"Torres, Miss. Anne",1,female,36.9
Q,1,1921,"Adams, Major. Terrence",3,male,14.9
S,1,1922,"Stevens, Countess. Carol",1,female,42.9
S,0,1923,"Todd, Sir. Roy",1,male,62.9
S,0,1924,"Gonzales, Col. Jacob",1,male,56.1
S,0,1925,"George, Mr. Tommy",3,male,23.0
C,0,1926,"Wade, Countess. Erika",3,female,18.0
S,1,1927,"Douglas, Lady. Donna",1,female,45.2
S,0,1928,"Parrish, Col. David",3,male,45.2
S,0,1929,"Dennis, Major. Aaron",2,male,24.7
S,1,1930,"Williams, Countess. Kayla",1,female,28.8
S,0,1931,"Cunningham, Major. Jason",3,male,26.7
S,1,1932,"Jones, Miss. Shelley",2,female,8.0
S,0,1933,"Burnett, Col. Darren",3,male,36.0
S,1,1934,"Rowland, Mrs. Wendy",2,female,34.7
Q,1,1935,"Santiago, Lady. Erin",1,female,22.5
S,1,1936,"Carr, Countess. Deanna",1,female,21.8
S,0,1937,"Clark, Rev. John",1,male,27.6
S,0,1938,"Pena, Rev. Erik",1,male,21.3
S,0,1939,"Garrett, Sir. Daniel",3,male,30.9
S,0,1940,"Vargas, Mr. Scott",1,male,52.5
S,1,1941,"Turner, Countess. Ashley",1,female,51.7
S,1,1942,"Berg, Mr. Austin",3,male,6.8
S,0,1943,"Lynch, Dr. Michael",1,male,30.8
S,0,1944,"Cole, Dr. Alexander",1,male,58.7
S,0,1945,"Vasquez, Col. Bruce",3,male,15.1
S,1,1946,"Christian, Mrs. Jennifer",2,female,12.2
S,1,1947,"Cox, Miss. Karina",2,female,46.2
S,0,1948,"Wood, Rev. Arthur",1,male,44.5
S,1,1949,"Lucas, Sir. Daniel",3,male,56.1
S,1,1950,"Sullivan, Lady. Rose",1,female,39.2
S,0,1951,"Butler, Rev. Lee",2,male,9.4
C,0,1952,"Avila, Mr. Christopher",2,male,29.5
S,0,1953,"Roberts, Col. Tony",1,male,22.1
S,0,1954,"Frye, Major. Eric",1,male,30.3
C,0,1955,"Huff, Major. Matthew",2,male,12.2
S,1,1956,"Mercado, Lady. Linda",1,female,17.9
S,0,1957,"Hansen, Rev. James",1,male,46.7
C,0,1958,"Spencer, Mr. Jason",1,male,62.8
S,0,1959,"Johnson, Col. Raymond",2,male,33.0
S,1,1960,"Larson, Miss. Laurie",2,female,36.9
S,0,1961,"Moore, Col. Anthony",3,male,31.1
S,1,1962,"Velasquez, Sir. Christopher",3,male,21.8
S,1,1963,"Conner, Dr. Brittney",1,female,14.2
S,0,1964,"Walters, Col. Tony",1,male,13.7
S,0,1965,"Wright, Sir. David",1,male,25.1
C,0,1966,"Martinez, Rev. Ethan",3,male,21.6
S,0,1967,"Winters, Mr. Paul",1,male,47.9
S,0,1968,"Huynh, Rev. Mark",3,male,35.5
S,1,1969,"Lopez, Mr. Bryan",1,male,42.7
S,1,1970,"Wilson, Mr. Peter",1,male,50.1
S,0,1971,"Lloyd, Col. Edward",1,male,48.4
S,1,1972,"Kelly, Mrs. Hannah",1,female,60.2
C,0,1973,"Bush, Sir. Nicholas",1,male,31.3
S,0,1974,"Brooks, Rev. Christopher",1,male,40.8
C,0,1975,"Arellano, Col. Larry",1,male,32.2
Q,0,1976,"Castro, Dr. John",1,male,32.1
S,0,1977,"Robinson, Dr. Matthew",1,male,26.5
S,1,1978,"Daniels, Mrs. Donna",1,female,27.2
S,0,1979,"Jones, Mr. David",1,male,38.6
Q,1,1980,"Martinez, Mrs. Julia",3,female,11.3
S,0,1981,"Kirby, Col. Douglas",3,male,21.4
S,1,1982,"Davis, Dr. Karen",3,female,33.8
S,0,1983,"Martin, Rev. Todd",1,male,26.9
S,0,1984,"Gonzalez, Dr. Matthew",1,male,46.9
S,1,1985,"Stewart, Miss. Beth",3,female,24.1
S,1,1986,"Salazar, Dr. Melvin",1,male,13.1
S,1,1987,"Castillo, Col. David",1,male,50.0
S,1,1988,"Fox, Countess. Brenda",2,female,20.2
S,1,1989,"Mcdowell, Dr. Olivia",3,female,5.7
S,1,1990,"Mann, Lady. Sabrina",2,female,19.2
S,0,1991,"Morgan, Col. Billy",3,male,27.8
S,1,1992,"Humphrey, Miss. Rachel",1,female,42.2
S,0,1993,"Davis, Sir. Randall",3,male,14.4
S,0,1994,"Hernandez, Dr. Lucas",1,male,34.9
S,0,1995,"Smith, Mr. John",1,male,37.5
S,0,1996,"Hardy, Dr. Justin",3,male,19.9
S,1,1997,"Powell, Col. Patrick",1,male,37.5
S,0,1998,"Perez, Mrs. Nicole",3,female,24.6
S,0,1999,"Harris, Major. Robert",1,male,5.1
S,1,2000,"Baker, Miss. Samantha",1,female,43.7
S,0,2001,"Gamble, Dr. Connor",1,male,38.3
S,0,2002,"Jimenez, Sir. Todd",2,male,6.6
S,0,2003,"Gibson, Dr. Jesse",1,male,32.7
S,1,2004,"Mooney, Col. William",1,male,17.0
Q,1,2005,"Edwards, Dr. Lori",2,female,7.7
S,1,2006,"Young, Sir. Jason",1,male,45.9
Q,1,2007,"Grant, Sir. Manuel",3,male,19.3
S,0,2008,"Taylor, Mr. Joseph",3,male,34.7
Q,0,2009,"Roth, Major. Kenneth",3,male,45.3
S,1,2010,"Marsh, Rev. Matthew",1,male,47.9
C,1,2011,"Beltran, Countess. Jennifer",3,female,19.4
S,0,2012,"Strong, Mr. Austin",3,male,21.0
S,0,2013,"Martinez, Dr. David",3,male,29.0
S,1,2014,"Berry, Dr. Jennifer",3,female,19.0
Q,1,2015,"Ross, Dr. Tracy",1,female,21.2
S,0,2016,"Roberson, Major. Walter",1,male,29.1
S,0,2017,"Gray, Rev. Robert",3,male,28.2
S,1,2018,"Moore, Dr. Dylan",1,male,65.3
C,0,2019,"Mercado, Major. Matthew",3,male,23.5
S,0,2020,"Cole, Col. Bryan",1,male,54.4
C,1,2021,"Rice, Miss. Brianna",1,female,23.1
S,0,2022,"Anderson, Major. Jose",3,male,38.7
S,0,2023,"Brennan, Countess. Amanda",1,female,28.9
C,0,2024,"Davis, Mr. Jacob",2,male,39.9
C,0,2025,"Clark, Dr. Shannon",1,male,31.7
C,1,2026,"Crawford, Dr. Martin",1,male,48.4
S,0,2027,"Salinas, Sir. Stephen",1,male,42.5
S,0,2028,"Randall, Mr. Eric",1,male,42.5
Q,1,2029,"Kelly, Major. Michael",1,male,24.6
S,0,2030,"Johnson, Mr. Matthew",1,male,47.5
S,1,2031,"Kirk, Countess. Brandi",1,female,45.1
S,1,2032,"Moore, Mrs. Karen",2,female,20.4
S,1,2033,"Clayton, Rev. Jacob",1,male,5.5
C,0,2034,"Nguyen, Major. William",3,male,54.0
S,1,2035,"Sanders, Rev. Vernon",1,male,79.6
S,1,2036,"Martinez, Col. William",2,male,34.8
S,1,2037,"James, Rev. Benjamin",3,male,6.1
S,0,2038,"Tucker, Rev. Steven",2,male,31.3
Q,0,2039,"Lawrence, Major. Nathan",3,male,0.5
S,1,2040,"Roberts, Lady. Laurie",1,female,16.5
S,1,2041,"Hill, Col. Ryan",2,male,17.6
S,1,2042,"Casey, Mrs. Kristina",1,female,50.1
S,1,2043,"Simmons, Rev. Steven",2,male,32.6
S,0,2044,"Dalton, Mr. Joseph",2,male,43.0
Q,0,2045,"Hooper, Sir. Chad",2,male,30.5
S,1,2046,"Torres, Countess. Sabrina",1,female,18.1
S,1,2047,"Nelson, Col. Walter",1,male,43.1
C,0,2048,"Mccoy, Lady. Nancy",1,female,28.9
S,0,2049,"Norman, Major. Jack",1,male,65.8
S,1,2050,"Lee, Miss. Lisa",1,female,14.5
S,1,2051,"Adams, Dr. Marissa",1,female,43.8
S,1,2052,"Gonzales, Dr. Olivia",1,female,8.3
S,0,2053,"Thomas, Sir. Edward",3,male,15.1
S,1,2054,"Jackson, Mr. Dylan",1,male,35.6
S,1,2055,"Henderson, Lady. Mariah",1,female,50.8
Q,0,2056,"Lawrence, Sir. Javier",3,male,17.5
S,0,2057,"Bailey, Col. Matthew",1,male,40.9
S,1,2058,"Cunningham, Sir. Troy",1,male,64.6
S,1,2059,"Rodriguez, Mrs. Janice",1,female,57.5
C,0,2060,"Williams, Sir. Matthew",2,male,22.0
Q,1,2061,"Burns, Dr. Peggy",1,female,50.7
S,1,2062,"Cannon, Mr. Billy",1,male,30.6
S,1,2063,"Cross, Major. Nicholas",1,male,17.1
S,0,2064,"Murphy, Col. Christopher",1,male,58.6
S,0,2065,"Sparks, Mr. Connor",1,male,36.8
C,1,2066,"Christensen, Miss. Angela",1,female,32.1
S,0,2067,"Johnson, Major. Travis",1,male,30.6
S,1,2068,"Greene, Miss. Misty",3,female,17.3
Q,0,2069,"Gardner, Rev. William",2,male,32.0
C,0,2070,"Park, Dr. James",1,male,48.9
S,0,2071,"Jones, Sir. Justin",1,male,25.4
